,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
202,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,GEOGRAFIA - 27L,ATIVO,A Especificar,Não Informada,Não,JF
203,2019,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FILOSOFIA - 08B,ATIVO,A Especificar,Não Informada,Não,JF
233,2025,2,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,ABI - FILOSOFIA - 08ABI,ATIVO,A Especificar,Não Informada,Não,JF
275,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73B,ATIVO,A Especificar,Não Informada,Não,JF
300,2017,1,SISU,SISU - grupo D - mudança de curso,Grupo D,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
307,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - 29LPO,ATIVO,A Especificar,Não Informada,Não,JF
330,2025,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73BL,ATIVO,A Especificar,Não Informada,Não,JF
361,2026,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA RELIGIÃO - 73BL,ATIVO,A Especificar,Não Informada,Não,JF
371,2021,1,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,NUTRIÇÃO - 64A,ATIVO,A Especificar,Não Informada,Não,JF
386,2024,1,VAGA OCIOSA,Matrícula como Graduado,Vaga Ociosa,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LETRAS - 13BFR,ATIVO,A Especificar,Deficiência Múltipla,Sim,JF
